COD_RH_MUNICIPIO;COD_MUNICIPIO;SGL_PAIS;SGL_DEPARTAMENTO;TXT_NME_MUNICIPIO;TXT_NME_MUNICIPIO_FILTRO
0000000000;1;BRA;SP;São Paulo;SAO PAULO
0000000000;1000;COL;NO;Convencion;CONVENCION
0000000000;1001;COL;NO;Cucutilla;CUCUTILLA
0000000000;1002;COL;NO;Durania;DURANIA
0000000000;1003;COL;NO;El Carmen;EL CARMEN
0000000000;1005;COL;NO;El Zulia;EL ZULIA
0000000000;1006;COL;NO;Gramalote;GRAMALOTE
0000000000;1007;COL;NO;Hacari;HACARI
0000000000;1008;COL;NO;Herran;HERRAN
0000000000;1009;COL;NO;Labateca;LABATECA
0000000000;1011;COL;NO;La Playa;LA PLAYA
0000000000;1012;COL;NO;Los Patios;LOS PATIOS
0000000000;1013;COL;NO;Lourdes;LOURDES
0000000000;1014;COL;NO;Mutiscua;MUTISCUA
0000000000;1015;COL;NO;Ocaña;OCANA
0000000000;1016;COL;NO;Pamplona;PAMPLONA
0000000000;1017;COL;NO;Pamplonita;PAMPLONITA
0000000000;1018;COL;NO;Puerto Santander;PUERTO SANTANDER
0000000000;1019;COL;NO;Ragonvalia;RAGONVALIA
0000000000;1020;COL;NO;Salazar;SALAZAR
0000000000;1022;COL;NO;San Cayetano;SAN CAYETANO
0000000000;1023;COL;NO;Santiago;SANTIAGO
0000000000;1024;COL;NO;Sardinata;SARDINATA
0000000000;1025;COL;NO;Silos;SILOS
0000000000;1027;COL;NO;Tibu;TIBU
0000000000;1028;COL;NO;Toledo;TOLEDO
0000000000;1029;COL;NO;Villa Caro;VILLA CARO
0000000000;1030;COL;NO;Villa del Rosario;VILLA DEL ROSARIO
0000000000;1031;COL;QU;Armenia;ARMENIA
0000000000;1032;COL;QU;Buenavista;BUENAVISTA
0000000000;1033;COL;QU;Calarcá;CALARCA
0000000000;1034;COL;QU;Circasia;CIRCASIA
0000000000;1035;COL;QU;Cordoba;CORDOBA
0000000000;1036;COL;QU;Filandia;FILANDIA
0000000000;1037;COL;QU;Génova;GENOVA
0000000000;1038;COL;QU;La Tebaida;LA TEBAIDA
